"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6005","Usuário com lentidão deve logar","","2026-04-17","passed","2026-04-17","","Login com diferentes usuários","",""
"","1513","Deve fazer logout","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","2120","Deve ordenar produtos por maior preço","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","53","Deve verificar se o site está no ar","","2026-04-17","passed","2026-04-17","","API Tests","",""
"","26","Deve validar conteúdo da página","","2026-04-17","passed","2026-04-17","","API Tests","",""
"","1462","Deve redirecionar para All Items","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","983","Usuário bloqueado não deve logar","","2026-04-17","passed","2026-04-17","","Login com diferentes usuários","",""
"","1355","Deve mostrar produtos","","2026-04-17","passed","2026-04-17","","Inventory","",""
"","1321","Deve exibir opções do menu","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","2268","Deve finalizar compra com sucesso","","2026-04-17","passed","2026-04-17","","Checkout","",""
"","1154","Login com sucesso","","2026-04-17","passed","2026-04-17","","Login SauceDemo","",""
"","34","Deve validar tempo de resposta","","2026-04-17","passed","2026-04-17","","API Tests","",""
"","2088","Deve ordenar produtos por menor preço","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","1343","Deve resetar o carrinho","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","2059","Deve ordenar produtos por nome Z-A","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","2039","Deve adicionar produto ao carrinho","","2026-04-17","passed","2026-04-17","","Carrinho","",""
"","2040","Deve ordenar produtos por nome A-Z","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
"","1126","Usuário padrão deve logar","","2026-04-17","passed","2026-04-17","","Login com diferentes usuários","",""
"","10090","Deve redirecionar para About","","2026-04-17","passed","2026-04-17","","Menu lateral","",""
